id,node_lat,node_long,node_code,node_desc,node_status
1,60.58868781,-145.6046329,G,"N100 (Power Creek Substation - H4, H5)",1
2,60.58868781,-145.6046329,N,"N103,104",1
3,60.59347723,-145.5797679,N,N101,1
4,60.59347723,-145.5797679,N,N102,1
5,60.61267722,-145.6797904,G,"N200 (Humpback Substation - H1, H2, H3)",1
6,60.61267722,-145.6797904,N,N201,1
7,60.61267722,-145.6797904,N,N202,1
8,60.61267722,-145.6797904,N,N203,1
9,60.61267968,-145.6797883,N,N204,1
10,60.58031093,-145.71713,N,N205,1
11,60.55620703,-145.7537217,G,N300 (Orca Substation ),1
12,60.55636629,-145.7534838,G,"N305,306 (Orca Substation - G5, G6, )",1
13,60.55587512,-145.7539286,G,N307(Orca Substation - G8),1
14,60.55616814,-145.7538446,G,"N303,304,308 (Orca Substation - G3, G4,  G7)",1
16,60.54046489,-145.7409785,N,N400,1
17,60.55630642,-145.7536415,N,N507,1
18,60.55630642,-145.7536415,N,N507,1
19,60.55376943,-145.7568852,N,N514,1
20,60.55074725,-145.7613148,N,N518,1
21,60.54879883,-145.7636204,N,N526,1
22,60.54951875,-145.7613602,N,N531,1
23,60.54053113,-145.7413754,N,N601,1
24,60.54138556,-145.7423055,N,N606,1
25,60.54309961,-145.7419555,N,N608,1
26,60.54281506,-145.7467771,N,N612,1
27,60.54226927,-145.7518833,N,N614,1
28,60.54235669,-145.7567855,N,N620,1
29,60.5445208,-145.7572651,N,N627,1
30,60.54048475,-145.7413777,N,N701,1
31,60.54399529,-145.7611739,N,N707,1
32,60.54693692,-145.7610863,N,N720,1
33,60.54693692,-145.7610863,N,N722,1
34,60.54771707,-145.7633705,N,N729,1
35,60.54783056,-145.765129,N,N731,1
36,60.54044653,-145.7413594,N,N801,1
37,60.53912015,-145.7424304,N,N806,1
38,60.53919729,-145.7528252,N,N808,1
39,60.53713436,-145.7604799,N,N811,1
40,60.53533395,-145.7727231,N,N813,1
41,60.53311036,-145.7776789,N,N822,1
42,60.52844131,-145.7797327,N,N829,1
43,60.52445983,-145.7838757,N,N831,1
44,60.54143426,-145.7577689,N,N838,1
45,60.5464789,-145.7584539,N,N850,1
46,60.54096569,-145.7445908,N,N859,1
47,60.54040807,-145.7413314,N,N901,1
48,60.53972879,-145.7344047,N,N910,1
49,60.536203,-145.716283,N,N911,1
50,60.53848024,-145.7062048,N,N916,1
51,60.54181295,-145.6885639,N,N920,1
52,60.53413561,-145.6558501,N,N921,1
53,60.52703187,-145.626724,N,N931,1
54,60.51063389,-145.5522864,N,N937,1
55,60.49782625,-145.4812803,N,N941,1
